ID,Note,Amount,Category,Account,Currency,Date,Event,Exclude Report
1,ส่งไปยัง เครดิตUOB(บัตรหลัก),-31734.71,จ่ายบัตรเครดิต,บัวหลวง (ต่อ),THB,28/04/2026,,True
2,,-25,ข้าวเช้า,บัวหลวง (ต่อ),THB,28/04/2026,,False
3,,-35,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,28/04/2026,,False
4,,-45,ขนม,บัวหลวง (ต่อ),THB,28/04/2026,,False
5,ได้รับจาก บัวหลวง (ต่อ),31734.71,รับค่าชำระบัตรเครดิต,เครดิตUOB(บัตรหลัก),THB,28/04/2026,,True
6,ได้รับจาก กสิกร (ต่อ),2787.51,โอนเงินเข้า,บัวหลวง (ต่อ),THB,27/04/2026,,True
7,,-37,ข้าวเช้า,บัวหลวง (ต่อ),THB,27/04/2026,,False
8,,-35,ข้าวกลางวัน,บัวหลวง (ต่อ),THB,27/04/2026,,False
9,,-60,กีฬา,บัวหลวง (ต่อ),THB,27/04/2026,,False
10,,-20,ขนม,บัวหลวง (ต่อ),THB,27/04/2026,,False
11,,-80,ขนม,บัวหลวง (ต่อ),THB,27/04/2026,,False
12,,-342,ค่าใช้จ่ายอื่นๆ,กสิกร (ต่อ),THB,27/04/2026,,False
13,ส่งไปยัง บัวหลวง (ต่อ),-2787.51,โอนเงินออก,กสิกร (ต่อ),THB,27/04/2026,,True
14,,7109.92,รับค่าชำระบัตรเครดิต,เครดิตกรุงศรี HomePro,THB,27/04/2026,,False
15,ได้รับจาก ไทยพาณิชย์ (ซัน),4844.92,โอนเงินเข้า,กสิกร(ซัน),THB,27/04/2026,,True
16,,-7109.92,จ่ายบัตรเครดิต,กสิกร(ซัน),THB,27/04/2026,,False
17,,1000,โอนเงินเข้า,สหกรณ์ มช.(หุ้น),THB,27/04/2026,,False
18,,-8,ค่าธรรมเนียม & ค่าบริการ,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
19,OT,8300,เงินเดือน,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
20,,6878.85,เงินเดือน,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
21,ส่งไปยัง กสิกร(ซัน),-4844.92,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,True
22,ส่งไปยัง InnovestX(หุ้น),-1000,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,True
23,ส่งไปยัง สหกรณ์ มช.(บัญชี),-4000,โอนเงินออก,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,True
24,บ้านหางดง,-26.34,ค่าไฟฟ้า,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
25,หอ,-24,ค่าไฟฟ้า,ไทยพาณิชย์ (ซัน),THB,27/04/2026,,False
